1,2,3,4,5,6
0.051082731,0.036246178,0.036246178,0.036246178,0.036246178,0.040105875
0.353478531,0.288436791,0.288436791,0.288436791,0.288436791,0.263859756
0.534544646,0.473451754,0.473451754,0.473451754,0.473451754,0.346804203
0.447441159,0.456937933,0.456937933,0.456937933,0.456937933,0.295429449
0.382216145,0.415774035,0.415774035,0.415774035,0.415774035,0.393939269
0.398283838,0.394377969,0.394377969,0.394377969,0.394377969,0.384705478
0.443153068,0.416958455,0.416958455,0.416958455,0.416958455,0.379463127
0.38484246,0.423564602,0.423564602,0.423564602,0.423564602,0.379152006
0.158184088,0.262150841,0.262150841,0.262150841,0.262150841,0.258308071
0.01,0.027414111,0.027414111,0.027414111,0.027414111,0.034328866
