Number,from bus,to bus,if this branch is existing,Max Flow,Susceptance,Distance (mile)
301,162,163,1,3200,91575.09158,0
302,162,183,0,2844.2,53137.7,11.2
303,162,184,0,2844.2,53137.7,11.2
304,162,185,0,2844.2,53137.7,11.2
305,163,184,1,2877.63,36245.01631,11.18868264
306,164,165,1,3200,83822.29673,0
307,164,166,1,3200,89365.50492,0
308,164,170,0,3008.9,74379.4,4.2
309,164,171,0,3008.9,74379.4,4.2
310,165,184,1,2938.53,28620.49227,15.32126299
311,165,171,1,2968.63,73260.07326,4.183277715
312,165,170,0,3008.9,74379.4,4.2
313,166,170,0,3008.9,74379.4,4.2
314,167,168,1,3200,88495.57522,0
315,167,169,1,3200,89847.25966,0
316,167,181,0,2749.9,40965.8,15.2
317,167,182,0,2749.9,40965.8,15.2
318,168,173,1,2932.49,12683.91679,29.39322964
319,170,171,1,3200,86281.27696,0
320,171,184,1,2678.53,29647.19834,12.57875348
321,172,173,1,3200,86058.51979,0
322,172,174,1,3200,85910.65292,0
323,175,178,1,3045.81,16866.25063,27.11488558
324,175,187,1,3193.96,47147.5719,8.754395278
325,175,186,0,2901.5,60518.9,8.8
326,177,178,1,3200,99502.48756,0
327,177,179,0,3034.6,77686.7,3.1
328,177,180,0,3034.6,77686.7,3.1
329,178,180,1,2580.01,86880.97307,3.092524978
330,178,184,1,2996.38,23496.2406,15.67368843
331,178,179,0,3034.6,77686.7,3.1
332,179,180,1,3200,97370.98345,0
333,180,187,1,3176.5,15053.43971,27.90168853
334,180,184,1,3113.08,24987.50625,14.29652529
335,181,182,1,3200,93370.68161,0
336,183,184,1,3200,96899.22481,0
337,183,185,1,3200,89206.06601,0
338,186,187,1,3200,84033.61345,0
